Date,AQI,PM2.5,PM10,NO2,CO,O3
2019-08-22,67.0,20.35,56.42,19.28,0.52,18.38
2019-08-23,65.0,23.71,61.82,16.82,0.43,18.8
2019-08-24,51.0,14.82,48.14,16.19,0.28,19.58
2019-08-25,51.0,14.89,36.89,17.27,0.37,20.59
2019-08-26,52.0,17.16,51.14,19.36,0.38,19.4
2019-08-27,65.0,18.86,65.41,15.9,0.38,22.29
2019-08-28,68.0,19.35,62.16,16.68,0.37,23.02
2019-08-29,65.0,16.92,53.81,17.85,0.42,17.91
2019-08-30,54.0,16.5,35.21,16.99,0.4,17.16
2019-08-31,41.0,13.98,26.77,15.96,0.38,13.47
2019-09-01,44.0,11.85,19.79,12.75,0.4,14.1
2019-09-02,38.0,15.72,31.72,11.79,0.38,14.05
2019-09-03,38.0,12.92,25.24,12.69,0.36,12.22
2019-09-04,35.0,12.2,22.06,12.34,0.38,13.7
2019-09-05,32.0,11.14,23.81,15.09,0.3,16.22
2019-09-06,34.0,11.92,26.23,12.37,0.28,14.98
2019-09-07,32.0,13.65,26.13,12.65,0.3,14.41
2019-09-08,33.0,10.31,23.28,11.43,0.31,17.15
2019-09-09,36.0,13.26,31.13,13.38,0.34,14.98
2019-09-10,39.0,14.98,39.67,13.26,0.31,16.46
2019-09-11,50.0,18.19,52.44,16.45,0.35,15.16
2019-09-12,57.0,21.73,54.59,14.72,0.31,14.9
2019-09-13,49.0,16.32,39.18,13.08,0.34,15.49
2019-09-14,48.0,18.39,43.73,15.41,0.36,16.87
2019-09-15,61.0,22.47,44.63,16.52,0.52,20.97
2019-09-16,65.0,28.23,63.7,15.93,0.38,17.92
2019-09-17,65.0,28.85,65.7,14.76,0.4,17.67
2019-09-18,65.0,25.01,47.59,22.53,0.51,25.02
2019-09-19,56.0,25.6,42.83,21.02,0.53,16.82
2019-09-20,53.0,20.54,35.92,21.37,0.48,16.03
2019-09-21,61.0,25.81,56.75,19.01,0.46,16.68
2019-09-22,61.0,27.01,56.52,22.14,0.48,19.56
2019-09-23,65.0,32.95,62.68,25.85,0.63,16.62
2019-09-24,60.0,28.07,45.66,25.87,0.5,18.13
2019-09-25,49.0,22.37,34.73,21.84,0.45,17.82
2019-09-26,53.0,20.4,37.11,15.21,0.44,16.42
2019-09-27,38.0,15.49,30.07,14.23,0.33,14.37
2019-09-28,44.0,25.85,47.6,15.5,0.4,17.95
2019-09-29,63.0,33.27,65.29,21.56,0.62,15.67
2019-09-30,75.0,41.11,65.51,28.89,0.82,13.19
2019-10-01,87.0,39.12,62.5,21.75,0.67,17.28
2019-10-02,72.0,31.98,69.4,21.43,0.53,19.45
2019-10-03,85.0,32.24,72.14,24.9,0.59,18.98
2019-10-04,81.0,34.73,70.39,24.27,0.65,20.09
2019-10-05,71.0,40.22,75.69,26.37,0.61,20.03
2019-10-06,82.0,42.99,65.7,26.42,0.62,20.61
2019-10-07,86.0,50.79,81.52,23.98,0.57,24.25
2019-10-08,95.0,56.9,83.53,21.05,0.57,23.99
2019-10-09,92.0,54.17,79.18,25.34,0.66,23.27
2019-10-10,80.0,39.07,64.26,32.44,0.63,19.34
2019-10-11,70.0,34.57,56.51,26.75,0.55,25.15
2019-10-12,67.0,34.91,61.3,27.6,0.56,24.66
2019-10-13,70.0,36.35,61.96,24.49,0.58,24.03
2019-10-14,88.0,53.22,94.89,24.54,0.56,21.06
2019-10-15,98.0,52.62,100.99,23.13,0.54,23.86
2019-10-16,98.0,59.41,104.37,28.52,0.67,25.33
2019-10-17,117.0,48.12,94.64,27.32,0.63,17.79
2019-10-18,64.0,24.3,52.38,20.85,0.5,18.67
2019-10-19,54.0,22.92,54.35,21.67,0.48,21.13
2019-10-20,63.0,28.04,51.18,23.54,0.62,18.41
2019-10-21,53.0,22.03,46.72,21.12,0.51,20.2
2019-10-22,71.0,41.03,71.08,27.1,0.65,14.93
2019-10-23,78.0,37.8,70.86,23.75,0.57,14.48
2019-10-24,72.0,22.53,43.48,19.81,0.6,12.59
2019-10-25,51.0,23.54,56.62,22.14,0.49,13.74
2019-10-26,52.0,18.81,42.64,18.42,0.44,15.61
2019-10-27,59.0,40.65,51.1,21.39,0.45,17.96
2019-10-28,126.0,64.09,94.5,24.01,0.59,20.95
2019-10-29,94.0,42.04,74.5,25.96,0.64,19.55
2019-10-30,82.0,40.41,72.97,26.24,0.98,19.73
2019-10-31,76.0,21.39,51.57,19.89,0.86,20.34
2019-11-01,54.0,22.51,54.11,20.95,0.46,19.96
2019-11-02,66.0,29.98,70.0,25.34,0.61,20.79
2019-11-03,84.0,37.22,84.04,22.49,0.59,23.74
2019-11-04,96.0,57.61,115.79,25.82,0.64,27.88
2019-11-05,155.0,84.85,157.6,36.15,0.75,28.26
2019-11-06,177.0,84.0,155.75,35.47,0.85,27.88
2019-11-07,155.0,70.7,125.56,27.89,0.65,31.05
2019-11-08,131.0,69.8,129.17,29.95,0.71,28.77
2019-11-09,156.0,81.35,146.94,29.9,0.67,32.63
2019-11-10,169.0,72.38,133.78,28.07,0.57,38.45
2019-11-11,122.0,60.06,122.21,30.62,0.64,27.21
2019-11-12,104.0,56.27,111.69,27.67,0.48,32.11
2019-11-13,123.0,62.64,120.38,32.29,0.55,34.16
2019-11-14,125.0,67.77,124.6,28.91,0.6,34.65
2019-11-15,127.0,69.15,130.32,34.06,0.67,30.76
2019-11-16,141.0,66.42,134.25,33.39,0.67,30.5
2019-11-17,131.0,70.79,135.59,30.37,0.66,34.73
2019-11-18,145.0,76.03,153.76,35.4,0.71,41.27
2019-11-19,165.0,82.72,159.66,32.85,0.68,44.86
2019-11-20,181.0,84.11,153.06,38.32,0.69,35.3
2019-11-21,161.0,78.63,137.03,38.44,0.7,30.22
2019-11-22,161.0,76.7,143.27,40.26,0.76,29.72
2019-11-23,159.0,75.82,146.29,42.14,0.77,26.43
2019-11-24,156.0,80.31,147.9,38.39,0.79,30.62
2019-11-25,163.0,86.18,152.32,35.5,0.72,32.54
2019-11-26,176.0,80.88,147.41,31.01,0.7,32.79
2019-11-27,154.0,71.3,141.73,38.76,0.85,28.08
2019-11-28,146.0,74.49,141.9,49.64,0.88,27.41
2019-11-29,129.0,62.42,117.76,44.76,0.79,28.58
2019-11-30,127.0,63.81,129.5,40.93,0.79,24.91
2019-12-01,127.0,61.97,115.41,32.04,0.7,23.4
2019-12-02,92.0,45.57,78.45,26.88,0.61,22.17
2019-12-03,75.0,47.66,80.56,36.08,0.75,20.1
2019-12-04,144.0,79.37,134.99,38.31,0.81,30.71
2019-12-05,172.0,82.44,152.49,47.96,0.92,27.09
2019-12-06,178.0,85.82,164.16,46.9,0.86,30.81
2019-12-07,186.0,83.29,152.67,49.14,0.82,33.25
2019-12-08,156.0,67.07,126.99,42.75,0.83,27.28
2019-12-09,119.0,57.77,111.21,41.58,0.89,24.99
2019-12-10,117.0,58.14,116.77,43.91,0.86,24.18
2019-12-11,125.0,64.73,122.45,45.83,0.92,26.62
2019-12-12,125.0,55.77,109.27,44.15,0.78,23.84
2019-12-13,85.0,31.86,69.75,32.41,0.61,26.76
2019-12-14,78.0,40.8,83.56,35.37,0.67,26.37
2019-12-15,87.0,43.43,78.64,31.45,0.66,27.3
2019-12-16,96.0,50.84,100.38,39.89,0.75,25.47
2019-12-17,120.0,69.16,129.71,45.94,0.84,24.37
2019-12-18,150.0,75.72,146.93,48.4,0.91,24.3
2019-12-19,147.0,75.66,147.41,45.84,0.92,25.57
2019-12-20,151.0,78.86,152.23,52.39,1.0,25.49
2019-12-21,172.0,82.1,156.27,45.79,0.84,31.18
2019-12-22,166.0,77.15,141.72,41.34,0.66,28.57
2019-12-23,157.0,74.42,132.56,41.57,0.73,30.37
2019-12-24,130.0,62.38,109.07,34.51,0.63,32.49
2019-12-25,131.0,72.06,123.2,33.0,0.74,34.33
2019-12-26,128.0,62.79,114.8,33.93,0.75,29.67
2019-12-27,119.0,56.3,119.06,36.66,0.73,26.83
2019-12-28,130.0,73.73,141.13,39.62,0.72,31.39
2019-12-29,158.0,80.23,149.05,44.53,0.79,32.58
2019-12-30,143.0,72.02,127.34,36.32,0.81,36.01
2019-12-31,107.0,47.37,82.17,30.94,0.68,30.96
2020-01-01,82.0,41.19,69.42,25.88,0.65,28.71
2020-01-02,64.0,30.8,56.0,27.43,0.61,22.23
2020-01-03,64.0,33.09,57.88,25.24,0.57,22.63
2020-01-04,87.0,57.96,106.32,29.78,0.7,27.61
2020-01-05,112.0,64.52,113.98,34.05,0.57,29.06
2020-01-06,125.0,56.86,101.12,36.85,0.75,26.58
2020-01-07,93.0,51.1,89.73,30.38,0.6,27.64
2020-01-08,82.0,40.04,74.46,25.03,0.45,26.31
2020-01-09,84.0,46.45,88.34,29.5,0.52,20.13
2020-01-10,123.0,74.35,129.65,29.58,0.52,30.67
2020-01-11,149.0,74.55,141.86,41.69,0.62,29.76
2020-01-12,140.0,67.37,137.74,42.49,0.57,29.52
2020-01-13,128.0,65.69,135.4,46.15,0.61,32.27
2020-01-14,134.0,72.24,139.44,40.97,0.63,41.27
2020-01-15,119.0,50.23,86.93,25.29,0.42,36.53
2020-01-16,76.0,35.28,65.41,22.05,0.38,33.42
2020-01-17,66.0,31.16,63.66,27.84,0.44,25.51
2020-01-18,69.0,35.01,74.36,29.5,0.48,25.43
2020-01-19,74.0,34.14,71.2,27.74,0.43,25.09
2020-01-20,77.0,39.98,83.38,30.46,0.47,25.95
2020-01-21,84.0,37.27,89.76,32.37,0.46,28.47
2020-01-22,84.0,38.79,85.47,31.8,0.48,27.79
2020-01-23,106.0,56.38,115.76,43.87,0.62,23.8
2020-01-24,125.0,63.09,128.53,49.49,0.66,21.9
2020-01-25,133.0,67.01,141.41,47.05,0.7,24.01
2020-01-26,131.0,62.52,138.48,43.0,0.63,26.27
2020-01-27,128.0,57.99,119.51,38.53,0.56,29.09
2020-01-28,107.0,51.37,105.71,29.77,0.45,36.31
2020-01-29,128.0,58.15,132.5,38.77,0.56,27.33
2020-01-30,126.0,68.2,149.58,36.66,0.57,32.23
2020-01-31,141.0,59.22,131.21,38.18,0.47,33.28
2020-02-01,99.0,38.88,83.63,40.69,0.4,23.6
2020-02-02,77.0,40.2,86.11,29.28,0.45,22.37
2020-02-03,76.0,36.94,79.23,30.21,0.42,19.82
2020-02-04,71.0,27.77,68.94,31.23,0.42,22.31
2020-02-05,70.0,32.73,79.91,34.88,0.44,20.87
2020-02-06,80.0,30.56,83.58,41.17,0.4,22.55
2020-02-07,80.0,32.21,85.67,28.37,0.39,28.54
2020-02-08,79.0,38.5,82.42,28.55,0.45,22.27
2020-02-09,82.0,41.49,67.47,27.11,0.49,17.12
2020-02-10,68.0,39.28,71.1,29.29,0.48,24.04
2020-02-11,75.0,42.7,80.0,29.93,0.49,30.41
2020-02-12,94.0,56.38,105.86,36.64,0.6,27.5
2020-02-13,122.0,61.85,130.5,43.3,0.6,28.73
2020-02-14,146.0,74.29,149.4,60.15,0.85,25.32
2020-02-15,154.0,66.96,142.86,57.58,0.8,27.56
2020-02-16,140.0,65.61,134.24,43.19,0.56,34.95
2020-02-17,126.0,59.75,138.05,44.99,0.63,29.88
2020-02-18,116.0,45.93,120.32,47.25,0.57,29.11
2020-02-19,112.0,49.6,116.05,44.57,0.58,32.27
2020-02-20,97.0,45.57,94.57,27.45,0.41,31.14
2020-02-21,86.0,35.27,76.37,22.96,0.35,32.66
2020-02-22,72.0,28.81,77.15,27.78,0.37,28.48
2020-02-23,68.0,25.6,64.14,24.85,0.39,29.68
2020-02-24,70.0,32.51,77.92,27.31,0.46,32.78
2020-02-25,86.0,42.14,107.78,28.15,0.46,31.4
2020-02-26,112.0,55.84,134.28,34.26,0.51,34.42
2020-02-27,108.0,38.49,108.25,33.43,0.41,36.84
2020-02-28,97.0,40.35,103.27,29.75,0.43,35.27
2020-02-29,91.0,42.44,94.49,25.56,0.51,33.3
2020-03-01,92.0,43.21,93.93,27.41,0.58,33.69
2020-03-02,95.0,48.6,98.66,31.95,0.59,29.23
2020-03-03,97.0,49.59,101.91,27.73,0.52,29.24
2020-03-04,106.0,46.51,109.13,29.56,0.52,26.06
2020-03-05,113.0,57.23,135.4,37.61,0.64,29.33
2020-03-06,100.0,33.87,85.6,23.4,0.44,21.86
2020-03-07,85.0,38.58,92.91,25.4,0.46,23.93
2020-03-08,77.0,33.94,68.49,22.05,0.46,23.97
2020-03-09,70.0,32.84,75.09,22.79,0.5,18.94
2020-03-10,65.0,25.67,60.08,21.21,0.44,21.56
2020-03-11,62.0,29.93,75.82,26.85,0.48,21.78
2020-03-12,78.0,31.53,86.96,30.61,0.58,21.14
2020-03-13,79.0,27.51,78.19,25.71,0.46,20.64
2020-03-14,75.0,33.45,83.27,28.19,0.53,20.47
2020-03-15,82.0,32.03,81.84,27.55,0.49,22.61
2020-03-16,71.0,27.86,68.18,28.5,0.53,19.88
2020-03-17,67.0,25.08,69.94,29.65,0.47,20.94
2020-03-18,67.0,26.32,68.45,31.53,0.51,20.74
2020-03-19,87.0,43.39,97.86,33.52,0.68,24.86
2020-03-20,79.0,33.71,72.83,25.04,0.52,29.44
2020-03-21,84.0,39.85,103.66,24.68,0.57,28.78
2020-03-22,102.0,38.0,85.6,20.45,0.49,26.93
2020-03-23,73.0,37.97,72.32,14.21,0.46,28.82
2020-03-24,66.0,28.75,59.24,12.33,0.4,28.26
2020-03-25,60.0,28.47,59.28,12.7,0.4,28.67
2020-03-26,59.0,29.0,60.99,12.23,0.37,29.13
2020-03-27,65.0,34.09,67.6,12.16,0.36,33.42
2020-03-28,70.0,36.17,67.08,11.67,0.39,36.97
2020-03-29,75.0,42.07,75.41,19.37,0.47,36.94
2020-03-30,72.0,34.79,65.96,19.35,0.41,36.78
2020-03-31,68.0,42.42,72.92,19.9,0.49,37.4
2020-04-01,87.0,47.96,83.65,19.98,0.65,35.46
2020-04-02,88.0,48.05,80.7,19.75,0.55,33.65
2020-04-03,73.0,38.13,69.42,18.95,0.51,31.37
2020-04-04,67.0,37.34,72.16,21.26,0.5,26.57
2020-04-05,66.0,30.18,57.17,16.71,0.44,27.81
2020-04-06,64.0,27.87,64.99,18.52,0.66,25.48
2020-04-07,77.0,19.76,39.6,22.67,0.8,34.09
2020-04-08,56.0,19.94,43.45,20.46,0.41,36.03
2020-04-09,59.0,29.36,61.5,25.74,0.51,29.65
2020-04-10,62.0,18.95,36.93,31.96,0.52,28.05
2020-04-11,55.0,23.99,43.01,27.24,0.38,23.3
2020-04-12,61.0,33.4,59.02,21.68,0.4,24.1
2020-04-13,68.0,35.21,66.35,18.03,0.41,29.34
2020-04-14,74.0,38.07,78.8,19.72,0.38,33.8
2020-04-15,74.0,33.99,68.75,18.3,0.41,34.56
2020-04-16,70.0,37.13,68.87,18.82,0.49,33.93
2020-04-17,74.0,38.44,75.93,21.35,0.51,29.02
2020-04-18,75.0,35.67,63.08,25.01,0.5,24.66
2020-04-19,67.0,30.21,61.21,24.42,0.38,24.31
2020-04-20,58.0,26.47,57.08,25.39,0.38,21.8
2020-04-21,54.0,22.83,42.44,29.99,0.5,20.2
2020-04-22,50.0,25.12,46.3,26.18,0.39,23.58
2020-04-23,53.0,27.57,62.7,24.7,0.45,23.42
2020-04-24,63.0,28.99,54.72,22.09,0.44,23.95
2020-04-25,62.0,31.76,72.38,24.4,0.46,24.59
2020-04-26,71.0,29.9,59.77,20.64,0.42,25.52
2020-04-27,56.0,23.51,56.45,21.98,0.44,26.87
2020-04-28,56.0,23.36,53.68,19.73,0.39,23.68
2020-04-29,51.0,16.03,37.73,22.21,0.41,29.77
2020-04-30,59.0,21.12,54.39,24.27,0.6,32.53
2020-05-01,67.0,22.69,53.46,22.43,0.64,27.21
2020-05-02,54.0,24.62,51.4,25.22,0.54,30.87
2020-05-03,70.0,33.03,80.72,26.32,0.49,30.42
2020-05-04,77.0,28.18,69.69,22.57,0.48,32.53
2020-05-05,71.0,31.36,75.39,24.86,0.45,32.74
2020-05-06,73.0,25.18,59.71,21.51,0.52,31.28
2020-05-07,59.0,26.84,58.71,21.67,0.41,26.6
2020-05-08,65.0,27.46,66.53,22.97,0.45,29.18
2020-05-09,69.0,29.56,61.16,21.1,0.37,31.69
2020-05-10,65.0,28.15,47.77,26.08,0.43,26.82
2020-05-11,83.0,38.65,82.55,30.29,0.53,27.77
2020-05-12,74.0,32.09,62.6,27.82,0.47,24.41
2020-05-13,64.0,24.1,54.77,24.07,0.38,25.87
2020-05-14,60.0,25.06,53.65,21.85,0.35,25.8
2020-05-15,60.0,24.12,56.89,23.33,0.34,27.84
2020-05-16,67.0,27.65,61.38,26.37,0.46,30.88
2020-05-17,70.0,32.47,72.72,28.5,0.49,31.95
2020-05-18,72.0,31.05,71.9,27.66,0.43,35.11
2020-05-19,93.0,42.41,122.45,30.17,0.52,33.8
2020-05-20,106.0,36.62,134.25,31.45,0.44,29.47
2020-05-21,109.0,31.59,118.03,33.69,0.43,32.1
2020-05-22,114.0,39.91,137.19,38.9,0.68,28.72
2020-05-23,122.0,44.09,147.59,35.83,0.62,35.2
2020-05-24,116.0,41.03,124.09,26.38,0.52,43.37
2020-05-25,102.0,33.07,97.27,22.72,0.44,38.23
2020-05-26,89.0,32.51,85.85,23.19,0.45,37.5
2020-05-27,87.0,28.66,90.2,24.26,0.44,40.38
2020-05-28,86.0,26.7,96.67,26.37,0.41,32.09
2020-05-29,84.0,21.07,79.56,24.05,0.34,30.78
2020-05-30,65.0,18.56,60.6,23.9,0.33,32.56
2020-05-31,67.0,25.17,60.07,27.75,0.43,25.41
2020-06-01,55.0,30.0,54.63,30.48,0.42,30.2
2020-06-02,79.0,16.47,31.29,23.75,0.33,29.86
2020-06-03,38.0,11.74,24.32,20.72,0.34,18.84
2020-06-04,33.0,13.93,28.72,18.89,0.3,21.39
2020-06-05,38.0,19.57,52.74,22.78,0.3,20.05
2020-06-06,58.0,23.02,74.58,20.88,0.29,17.59
2020-06-07,64.0,19.49,59.86,18.0,0.3,17.98
2020-06-08,54.0,20.2,68.79,19.5,0.32,16.57
2020-06-09,57.0,17.96,56.02,19.43,0.31,20.04
2020-06-10,48.0,20.26,42.43,21.57,0.28,17.59
2020-06-11,42.0,19.96,45.14,23.97,0.27,13.48
2020-06-12,42.0,17.19,35.96,21.01,0.28,15.47
2020-06-13,38.0,9.87,23.48,19.35,0.29,16.2
2020-06-14,32.0,9.8,22.79,19.97,0.26,17.74
2020-06-15,33.0,13.53,31.78,19.95,0.31,15.24
2020-06-16,31.0,10.31,20.76,17.7,0.31,13.05
2020-06-17,29.0,10.31,20.97,18.86,0.28,14.37
2020-06-18,30.0,14.04,33.09,18.92,0.26,13.99
2020-06-19,37.0,20.19,55.14,20.73,0.27,12.04
2020-06-20,52.0,22.5,63.77,19.96,0.26,13.86
2020-06-21,56.0,24.0,72.01,21.8,0.25,14.47
2020-06-22,60.0,22.91,68.3,21.71,0.26,15.94
2020-06-23,51.0,22.36,56.6,22.45,0.32,16.49
2020-06-24,51.0,21.25,45.4,24.72,0.36,20.81
2020-06-25,52.0,22.41,46.29,25.42,0.35,23.48
2020-06-26,52.0,27.05,54.96,21.78,0.34,24.41
2020-06-27,58.0,23.29,44.2,22.64,0.36,24.22
2020-06-28,49.0,15.8,32.18,22.73,0.36,22.25
2020-06-29,47.0,20.24,44.74,27.59,0.38,19.98
2020-06-30,46.0,19.38,41.95,24.58,0.39,17.4
2020-07-01,48.0,26.83,66.5,27.18,0.43,13.2
